GPU,Score,Price,Playable Games,Unplayable Games,Percent Playable
Barco MXRT 5600,2466,704.0,1310,2897,31.138578559543618
FirePro 3D V8800,2438,424.99,1310,2897,31.138578559543618
Radeon Pro WX 3200,2414,173.22,1310,2897,31.138578559543618
Radeon Pro WX 4150,2381,610.04,1310,2897,31.138578559543618
Radeon Pro,2325,579.99,1310,2897,31.138578559543618
Radeon HD 5970,2308,179.99,1309,2898,31.114808652246257
FirePro V7900,2305,190.0,1308,2899,31.091038744948897
FirePro V8800,2281,198.0,1308,2899,31.091038744948897
GeForce MX150,2277,59.29,1308,2899,31.091038744948897
Quadro K3100M,2273,399.95,1299,2908,30.877109579272645
Radeon HD 6970M,2270,215.99,1299,2908,30.877109579272645
Radeon R7 250X,2269,194.0,1299,2908,30.877109579272645
GeForce GTX 460,2253,89.99,1296,2911,30.805799857380556
Quadro K620,2240,2029.99,1249,2958,29.688614214404563
Radeon HD 6870,2216,275.0,1249,2958,29.688614214404563
Radeon HD 5870,2215,295.0,1244,2963,29.569764677917753
Radeon HD 7770,2170,300.0,1242,2965,29.522224863323032
GeForce GTX 745,2149,284.95,1226,2981,29.14190634656525
Quadro M600M,2146,251.99,1223,2984,29.07059662467316
Radeon RX Vega 11,2122,1002.0,1223,2984,29.07059662467316
Quadro P520,2104,1499.0,1223,2984,29.07059662467316
GeForce GTX 580M,2074,248.68,1223,2984,29.07059662467316
FirePro V7800,2028,190.0,1223,2984,29.07059662467316
Radeon R9 350,2019,299.0,1223,2984,29.07059662467316
GeForce GTX 460 SE,2011,159.99,1223,2984,29.07059662467316
GeForce GTX 765M,1992,186.3,1223,2984,29.07059662467316
Radeon HD 5850,1980,288.99,1222,2985,29.0468267173758
Radeon HD 6850,1971,85.0,1213,2994,28.83289755169955
Radeon R7 450,1939,299.0,1204,3003,28.618968386023298
Quadro 5000,1924,804.62,1204,3003,28.618968386023298
Radeon RX 570X,1923,376.87,1204,3003,28.618968386023298
GeForce GTX 560 SE,1914,89.99,1204,3003,28.618968386023298
Quadro K4000M,1909,254.0,1204,3003,28.618968386023298
GeForce GTX 460 v2,1872,199.99,1149,3058,27.311623484668413
FirePro 3D V7800,1867,599.99,1147,3060,27.264083670073685
FirePro M6000,1820,325.99,1143,3064,27.169004040884243
Radeon 550,1772,74.99,1138,3069,27.050154504397433
Quadro 5010M,1772,235.95,1138,3069,27.050154504397433
GeForce GTX 650,1753,109.98,1138,3069,27.050154504397433
Radeon HD 5830,1730,258.99,1090,3117,25.90919895412408
Radeon HD 7750,1698,129.99,1087,3120,25.83788923223199
FirePro W600,1662,414.99,1074,3133,25.528880437366297
Quadro K3000M,1646,407.56,1074,3133,25.528880437366297
FirePro M4000,1612,72.83,1074,3133,25.528880437366297
Radeon HD 6790,1606,294.0,1074,3133,25.528880437366297
Quadro P400,1601,201.17,1072,3135,25.48134062277157
Radeon Vega 8,1585,126.86,1072,3135,25.48134062277157
Quadro K2000D,1577,339.99,1064,3143,25.291181364392678
Quadro K2000,1570,294.0,1064,3143,25.291181364392678
FirePro W4100,1546,184.0,1064,3143,25.291181364392678
GeForce GTX 550 Ti,1540,99.99,1064,3143,25.291181364392678
FirePro V8700,1539,157.88,1042,3165,24.768243403850725
Radeon R9 M370X,1517,889.0,1042,3165,24.768243403850725
GeForce GTX 285,1516,119.99,1042,3165,24.768243403850725
Radeon HD 4890,1514,89.99,1041,3166,24.74447349655336
GeForce GT 740,1491,236.99,1034,3173,24.57808414547183
Quadro 4000,1479,1008.09,1026,3181,24.38792488709294
Radeon R9 255,1457,344.16,978,3229,23.246969336819586
GeForce GTX 660M,1444,78.99,977,3230,23.223199429522225
GeForce GTX 275,1427,431.72,977,3230,23.223199429522225
Radeon HD 4870,1366,79.99,972,3235,23.104349893035415
Quadro K2100M,1361,415.99,953,3254,22.652721654385548
Radeon HD 5770,1344,189.99,953,3254,22.652721654385548
Quadro 4000M,1324,232.06,934,3273,22.201093415735677
GeForce GTS 450,1314,79.99,932,3275,22.153553601140956
Radeon Vega 6,1309,1799.99,920,3287,21.868314713572616
GeForce GTX 280,1299,522.78,919,3288,21.844544806275255
FirePro 3D V8750,1272,1230.99,900,3307,21.392916567625385
FirePro V5900,1270,86.0,900,3307,21.392916567625385
Radeon HD 6770,1247,264.99,899,3308,21.369146660328024
FirePro 3D V5800,1232,204.0,895,3312,21.27406703113858
GeForce GTX 260,1230,79.99,895,3312,21.27406703113858
Quadro FX 5800,1217,274.0,868,3339,20.632279534109816
Radeon HD 7730,1209,232.7,868,3339,20.632279534109816
FirePro 3D V8700,1206,170.07,864,3343,20.53719990492037
GeForce GTX 295,1202,159.99,864,3343,20.53719990492037
GeForce GT 640,1179,109.99,863,3344,20.51342999762301
FirePro V5800,1176,53.0,851,3356,20.228191110054674
NVS 810,1161,624.99,851,3356,20.228191110054674
Radeon HD 5750,1161,69.99,851,3356,20.228191110054674
Barco MXRT 5400,1161,203.0,851,3356,20.228191110054674
Radeon R9 M275,1115,699.99,834,3373,19.824102685999527
Radeon R7 430,1111,150.58,834,3373,19.824102685999527
GeForce GT 545,1102,55.59,830,3377,19.729023056810078
Quadro K1100M,1085,322.99,830,3377,19.729023056810078
Radeon R7 250,1083,189.97,830,3377,19.729023056810078
Barco MXRT 5450,1079,199.99,815,3392,19.372474447349656
Radeon HD 6750,1035,79.99,815,3392,19.372474447349656
Quadro 3000M,1019,69.99,812,3395,19.30116472545757
Quadro K2000M,1016,144.04,812,3395,19.30116472545757
Quadro FX 4800,991,204.0,807,3400,19.182315188970765
FirePro V4900,984,149.99,807,3400,19.182315188970765
Quadro 2000D,974,140.0,807,3400,19.182315188970765
Radeon R7 PRO A10-9700E,967,529.0,807,3400,19.182315188970765
Radeon HD 8570,961,98.68,807,3400,19.182315188970765
Quadro CX,947,149.95,807,3400,19.182315188970765
Quadro 2000,946,213.23,807,3400,19.182315188970765
Radeon R7 M445,946,744.0,807,3400,19.182315188970765
Radeon HD 4850,939,378.0,807,3400,19.182315188970765
Radeon R5 430,937,59.0,791,3416,18.80199667221298
Barco MXRT 7400,901,99.0,787,3420,18.706917043023534
Barco MXRT 2600,900,199.0,787,3420,18.706917043023534
Radeon HD 4770,895,59.99,787,3420,18.706917043023534
Radeon Vega 3,892,2677.99,786,3421,18.683147135726173
Radeon R7 A12-9800E RADEON,892,139.19,786,3421,18.683147135726173
Radeon R7 240,892,109.99,786,3421,18.683147135726173
FirePro W2100,890,59.0,779,3428,18.51675778464464
Radeon E6760,877,239.99,779,3428,18.51675778464464
Radeon 520,859,89.99,768,3439,18.255288804373663
FirePro 3D V4800,854,159.99,760,3447,18.065129545994772
Radeon HD 4830,836,59.99,760,3447,18.065129545994772
GeForce GT 635,834,66.94,756,3451,17.970049916805326
GeForce GT 730,831,109.99,755,3452,17.946280009507962
Quadro FX 3800,799,259.13,739,3468,17.56596149275018
GeForce 9800 GX2,798,195.0,739,3468,17.56596149275018
Radeon HD 5670,796,67.0,739,3468,17.56596149275018
Quadro K1000M,786,69.95,732,3475,17.39957214166865
Quadro 2000M,783,229.74,732,3475,17.39957214166865
GeForce GT 440,773,225.0,732,3475,17.39957214166865
GeForce 9800 GTX,769,74.99,732,3475,17.39957214166865
Quadro K420,760,269.0,726,3481,17.25695269788448
Quadro K600,745,60.24,726,3481,17.25695269788448
Radeon R7 A12-9720P RADEON,742,365.48,725,3482,17.23318279058712
Radeon R7 A12-9700P RADEON,741,435.92,725,3482,17.23318279058712
Radeon R7 FX-9800P RADEON,740,530.0,725,3482,17.23318279058712
GeForce GT 340,738,52.99,725,3482,17.23318279058712
Radeon HD 6670,729,68.99,725,3482,17.23318279058712
Quadro K610M,720,240.0,716,3491,17.019253624910863
NVS 510,707,143.26,716,3491,17.019253624910863
GeForce GT 630,681,147.01,716,3491,17.019253624910863
GeForce GT 640M LE,680,849.99,703,3504,16.710244830045163
GeForce GT 530,678,49.0,703,3504,16.710244830045163
GeForce GT 555M,665,177.2,702,3505,16.686474922747802
FireGL V7700,660,69.99,702,3505,16.686474922747802
GRID K1,651,395.0,700,3507,16.638935108153078
FirePro V3900,646,238.44,700,3507,16.638935108153078
GeForce GT 710,631,249.99,698,3509,16.591395293558357
Radeon HD 7570,627,102.49,657,3550,15.616829094366533
GeForce GT 720,611,99.99,655,3552,15.569289279771809
GeForce 9800 GTX/9800 GTX+,608,89.99,653,3554,15.521749465177088
GeForce GTS 250,604,69.99,653,3554,15.521749465177088
GeForce GT 430,601,139.99,646,3561,15.355360114095554
GeForce 8800 GTX,590,119.99,638,3569,15.165200855716662
GeForce GTS 240,577,64.99,630,3577,14.975041597337771
Radeon R5 420,575,39.95,630,3577,14.975041597337771
Intel HD 5000,573,625.0,630,3577,14.975041597337771
Radeon HD 7650A,573,262.0,630,3577,14.975041597337771
Quadro 1000M,571,54.5,619,3588,14.713572617066795
Quadro 500M,571,275.14,619,3588,14.713572617066795
Radeon HD 6570,559,64.99,619,3588,14.713572617066795
Radeon HD 3870,557,69.99,602,3605,14.309484193011649
FireGL V8650,550,298.99,594,3613,14.119324934632754
FirePro 3D V5700,547,319.99,594,3613,14.119324934632754
FirePro 3D V7750,545,350.0,594,3613,14.119324934632754
Quadro 600,538,76.0,594,3613,14.119324934632754
Radeon R5 240,530,85.0,592,3615,14.071785120038033
Quadro FX 5600,525,295.0,592,3615,14.071785120038033
GeForce GT 240,516,160.97,587,3620,13.952935583551223
Radeon R5 330,513,339.99,584,3623,13.881625861659138
GeForce 8800 GT,494,69.99,583,3624,13.857855954361778
GeForce 9600 GT,492,64.99,553,3654,13.14475873544093
