GPU,Score,Price
Radeon HD 8970M,3876,139.99
Intel Arc A310,3876,109.99
Matrox LUMA A310F,3873,0.0
GeForce GTX 780M,3872,499.0
Radeon HD 7850,3856,169.99
Radeon Ryzen 5 6600HS Creator Edition,3851,0.0
Radeon HD 7970M,3847,0.0
GRID RTX8000P-2Q,3843,0.0
GRID P100-8Q,3841,0.0
GRID M60-4Q,3831,0.0
Radeon Ryzen 7 4800H,3813,0.0
GRID V100-2Q,3811,0.0
P104-100,3807,299.99
GeForce GTX 880M,3804,0.0
Radeon Ryzen 5 7535U,3792,0.0
Intel Arc,3774,0.0
Radeon Pro WX 4100,3765,499.99
Barco MXRT 7500,3753,299.0
Ryzen 7 PRO 6850HS with Radeon Graphics,3736,0.0
GeForce GTX 965M,3732,0.0
Ryzen 5 PRO 6650H with Radeon Graphics,3727,0.0
GeForce MX450,3724,0.0
GRID M60-1Q,3695,0.0
T500,3694,0.0
Eng Sample: 100-000000545-40_Y,3692,0.0
Matrox LUMA A310,3690,0.0
Ryzen 5 6600HS Creator Edition,3686,0.0
T400 4GB,3684,0.0
Ryzen 5 7535HS with Radeon Graphics,3680,0.0
Radeon Pro 560X,3678,0.0
Ryzen 5 6600H with Radeon Graphics,3674,0.0
Radeon Ryzen 5 PRO 6650U,3674,0.0
Radeon R9 M485X,3661,0.0
Intel Arc A370M,3646,0.0
Radeon RX 560,3646,196.99
T400,3620,179.99
Radeon RX Vega M GL,3607,0.0
GRID T4-1Q,3603,0.0
Quadro P620,3596,574.55
Ryzen 5 PRO 6650U with Radeon Graphics,3575,0.0
GRID RTX8000-2Q,3574,0.0
GeForce GTX 680M KY_Bullet Edition,3569,0.0
GRID M6-8Q,3568,0.0
Radeon Ryzen 5 6600U,3565,0.0
GeForce GTX 775M,3551,0.0
Quadro K2200,3549,268.3
Microsoft Basic Display Adapter Ryzen 5 3550H,3537,0.0
Ryzen 5 7535U with Radeon Graphics,3529,0.0
Ryzen 5 PRO 6650U,3519,0.0
GRID K520,3516,149.99
Radeon 740M,3506,0.0
Quadro 7000,3505,0.0
Tesla M10,3490,2695.0
Radeon Pro 560,3475,0.0
Radeon Pro 460,3453,0.0
GRID T4-2Q,3451,0.0
Quadro M2000M,3449,213.16
GeForce GTX 870M,3449,0.0
Quadro K2200M,3441,124.95
Tesla C2050 / C2070,3428,0.0
NVIDIA A10-4Q,3425,0.0
GeForce GTX 960M,3398,1169.0
Radeon HD8970M,3369,0.0
Radeon E8870PCIe,3368,0.0
GeForce GTX 750,3361,79.99
GRID M10-1Q,3351,0.0
Radeon R9 M390X,3346,0.0
GeForce GTX 590,3341,435.0
GeForce GTX 650 Ti BOOST,3339,0.0
GRID P4-8Q,3299,0.0
Tesla K40m,3281,0.0
Quadro M1200,3273,0.0
Quadro P600,3266,212.81
GRID T4-4Q,3260,0.0
GeForce 770M,3246,176.99
Radeon R9 M470X,3244,0.0
Eng Sample: 100-000000534-40_Y,3237,0.0
Ryzen 5 6600U with Radeon Graphics,3233,0.0
Ryzen 7 5800HS with Radeon Graphics,3214,0.0
GeForce GTX 680M,3206,135.99
Radeon Ryzen 9 7900X 12-Core,3197,0.0
Radeon RX 560X,3195,0.0
Radeon R9 M290X,3190,0.0
Quadro K5100M,3189,1108.84
Radeon R9 260,3182,0.0
Tesla C2050,3176,269.99
Radeon R7 260X,3173,139.99
FirePro V7000,3162,0.0
FirePro W7170M,3162,0.0
Radeon Pro 555,3141,1049.0
Radeon Pro 455,3113,449.0
Matrox LUMA A310FP,3093,0.0
Intel G35 Express,3090,0.0
